,Unnamed: 0,NAME,RA,DEC,LAMBDA,Z_SPEC
12613,12613,RMJ120806.8+612903.2,182.028523005862,61.48421588027561,48.80488,-1.0
12614,12614,RMJ224902.6+014434.9,342.2607097955655,1.743018433979758,39.163734000000005,0.35648057
12616,12616,RMJ091557.8-013257.0,138.9908799705317,-1.5491736097882358,51.474495000000005,-1.0
12618,12618,RMJ132449.3+233158.1,201.20529330360088,23.532809937618946,47.90483,0.47633500000000006
12620,12620,RMJ101015.4+224705.5,152.56434180007085,22.78485273299636,30.987066,-1.0
12621,12621,RMJ234847.8+160010.3,357.19906998523004,16.002873020499404,32.146446000000005,-1.0
12622,12622,RMJ223604.3+073322.8,339.01807182959874,7.556345889750793,36.87549,-1.0
12623,12623,RMJ002103.5+193937.5,5.264761532256216,19.66042729437125,42.35202,-1.0
12624,12624,RMJ132307.4+153902.1,200.78072173490173,15.650574809147509,32.405777,0.389829
12625,12625,RMJ074307.9+311034.8,115.78296255581054,31.176339853143066,30.559927000000002,0.24971247
12628,12628,RMJ233856.4-024318.2,354.735166969576,-2.721733296409557,46.272552000000005,0.44582775
12629,12629,RMJ120114.3+440846.8,180.30961869863103,44.146321325125314,31.170126,-1.0
12630,12630,RMJ132125.1+095049.4,200.35472081417987,9.847059001342076,36.585640000000005,-1.0
12633,12633,RMJ101248.3+441655.9,153.20132748340347,44.28219846007349,49.826958000000005,0.5271563
12636,12636,RMJ003917.1-030823.9,9.82112032881308,-3.1399772170898186,33.793983000000004,-1.0
12637,12637,RMJ014731.5+291610.0,26.881317727468513,29.269451099438943,34.007553,-1.0
12640,12640,RMJ231045.3+232317.9,347.68870418992583,23.38830184337049,46.104744000000004,-1.0
12642,12642,RMJ235255.4-001237.0,358.23083276407164,-0.21027071063721872,31.124360999999997,-1.0
12644,12644,RMJ112744.7+095505.2,171.93634062234264,9.91811683714835,72.6484,-1.0
12649,12649,RMJ005748.8+160107.3,14.4535349810551,16.018703718959795,48.515029999999996,-1.0
12651,12651,RMJ121457.9+225442.5,183.74111494191837,22.91179894498265,31.032830999999998,-1.0
12655,12655,RMJ091600.6+220527.6,139.00269942305596,22.090995516448814,39.712914000000005,0.4052675
12656,12656,RMJ024939.3-034412.9,42.41377891655787,-3.736909765278908,31.261656,-1.0
12657,12657,RMJ010204.1+051144.6,15.517180837760634,5.195708343143477,38.980675,-1.0
12660,12660,RMJ002455.4+001903.5,6.230690749218071,0.3176263918343114,40.521423,0.45067117
12661,12661,RMJ015900.6-095419.7,29.752668020512004,-9.905480903938694,52.176224,0.44421726
12666,12666,RMJ101706.1+104201.5,154.2754846135664,10.700407138630961,44.411446000000005,0.44683057
12670,12670,RMJ075243.3+521427.1,118.18050642298974,52.24087033265749,56.020477,-1.0
12671,12671,RMJ112120.8+434747.3,170.33669078150828,43.79648262459557,54.51024,0.48399854
12672,12672,RMJ111011.3-023343.6,167.5471553946869,-2.5621168377252714,55.456047,0.47290462
12676,12676,RMJ094801.1+381120.5,147.00439514619168,38.18903885321376,44.121596999999994,0.47571018
12677,12677,RMJ091723.2+034940.5,139.34654382226094,3.827922910140062,35.92968,0.41336885
12682,12682,RMJ084721.9+073242.6,131.84113478608356,7.545158734966042,35.304221999999996,-1.0
12684,12684,RMJ143833.6+253012.5,219.64017157221522,25.50348224610077,36.23478,0.39346886
12685,12685,RMJ084850.1+491848.0,132.20875545671254,49.3133381093696,38.156906,0.41607177
12686,12686,RMJ153024.8+164518.9,232.60350211615884,16.75526231143869,62.763176,-1.0
12687,12687,RMJ083028.8+251634.4,127.6199275546397,25.276222173207568,52.054184,-1.0
12688,12688,RMJ091044.5+055920.9,137.6852328593788,5.98914689985086,44.518227,0.48369458
12689,12689,RMJ083535.1+100953.2,128.89643670409106,10.164776481879477,35.16693,0.3793999
12690,12690,RMJ012500.2+045246.2,21.250771739199593,4.879508741786663,63.388633999999996,0.5329941
12693,12693,RMJ010717.5+311713.8,16.823009116471493,31.28717021861589,68.682106,-1.0
12695,12695,RMJ094930.4+501641.0,147.3765289687816,50.27806284606668,49.582879999999996,0.4945709
12696,12696,RMJ005045.1+051143.1,12.687890111393848,5.195297994251193,35.014379999999996,-1.0
12697,12697,RMJ014938.9+295838.4,27.412057673353786,29.97733535417462,36.11274,-1.0
12699,12699,RMJ125608.3+171623.3,194.0345725155637,17.273145165032112,45.982704,-1.0
12700,12700,RMJ124130.5+034735.6,190.37712116846282,3.7932144867889073,57.057816,0.54173803
12701,12701,RMJ131801.1+142757.7,199.50470132111863,14.466038343382321,39.834953000000006,0.477818
12707,12707,RMJ163916.9+332145.8,249.82062249342965,33.36271450023859,36.44835,0.43958059999999993
12708,12708,RMJ111946.3+375009.5,169.94296870780545,37.835959311925244,37.119568,-1.0
12709,12709,RMJ225200.4+260858.0,343.00182575810084,26.149453515595695,30.483652000000003,-1.0
12710,12710,RMJ093400.1+081821.8,143.50033095178782,8.30605173531079,30.331102,0.3782487
