,Unnamed: 0,NAME,RA,DEC,Z_LAMBDA,LAMBDA,S,Z_SPEC,IMAG,MODEL_MAG_U,MODEL_MAG_G,MODEL_MAG_R,MODEL_MAG_I,MODEL_MAG_Z,ILUM
9836,13780,RMJ144348.8+545904.8,220.95333876486484,54.98465697377525,0.5338632,59.834219999999995,2.1791080000000003,-1.0,0.0,25.296310000000002,22.226824,20.294497,19.328903,18.926233,27.168694
9837,13781,RMJ154015.5+111553.1,235.06440927271458,11.264738361392743,0.57325613,71.71785,3.0370543,0.55902696,0.0,23.855304999999998,22.230558,20.659744,19.76609,19.270933,28.358164000000002
9843,13796,RMJ100831.9+185725.0,152.13281006313318,18.956938082134663,0.5234928,59.48336,2.06242,0.49577236,0.0,24.484911,20.885717,19.364114999999998,18.41796,17.99106,40.970825
9845,13799,RMJ120059.1+141649.8,180.2464528242726,14.280509197506651,0.5366415,57.179855,2.3756517999999995,-1.0,0.0,23.509357,21.080288,19.618292,18.62077,18.246075,29.298603000000004
9848,13805,RMJ150213.5-015732.4,225.5561228038657,-1.9590085073117816,0.502027,53.65596,2.1554862999999997,0.49188557,0.0,23.924866,21.94322,19.839025,18.892557,18.356554,28.817814000000002
9857,13821,RMJ121911.0+612050.5,184.79592374714517,61.34736310423204,0.5632986999999999,56.98154399999999,2.5570117999999997,-1.0,0.0,23.021862,22.134926,20.404049,19.380562,18.987135000000002,27.308996
9865,13837,RMJ101433.7+223020.7,153.64043178854675,22.505743892225073,0.5148408,54.34243000000001,1.9313073,-1.0,0.0,22.53892,21.362043,19.61744,18.656105,18.113445000000002,32.745564
9877,13860,RMJ234835.7+310519.2,357.14883910559183,31.088653331310372,0.4984227,54.89161,2.1778362,-1.0,0.0,22.416002,21.882952,20.047047,19.132088,18.601452,30.99454
9881,13868,RMJ083938.3+494826.2,129.9094845021434,49.80727050948504,0.5274648000000001,59.08673,2.5461833,0.53780454,0.0,25.02536,21.538807000000002,20.272802,19.245718,18.840542000000003,30.466986
9885,13873,RMJ015601.0+110152.1,29.004005860825373,11.03115162026536,0.4681646,52.359283000000005,1.9233586,0.45350462,0.0,23.532682,21.234718,19.434072,18.650507,18.224531,31.593962
9902,13902,RMJ003839.8-013424.8,9.665777279435616,-1.5735477547097616,0.50779754,61.359719999999996,2.2350295,0.49200088,0.0,24.291667999999998,22.027935,20.170607,19.234716,18.825184,30.312621999999998
9905,13911,RMJ160615.4+104813.1,241.56425925764674,10.803630817848024,0.55149055,68.697365,2.567782,0.5602058000000001,0.0,23.661054999999998,21.925259,20.007923,18.875754999999998,18.577497,34.763203000000004
9910,13925,RMJ124059.1+123840.5,190.24645186611943,12.64458781583925,0.5035895,54.67804,1.8689008000000003,-1.0,0.0,22.801893,21.461073000000003,19.68591,18.741186,18.409971,30.488609999999998
9914,13932,RMJ223544.2+074401.6,338.93414293199726,7.7337767558702994,0.46040848,51.611794,1.8686588,-1.0,0.0,24.686085000000002,21.157646,19.360905,18.47618,17.942870000000003,24.212723
9918,13940,RMJ010325.0+005551.7,15.854143765815447,0.9310180463159022,0.5338229,53.76274,2.227376,0.52843183,0.0,22.233610000000002,20.521357000000002,18.855273999999998,17.838259,17.356815,37.21693
9920,13942,RMJ153831.8+434108.3,234.6324680067388,43.68564261394746,0.5009372999999999,53.82376,1.8637377,0.52661026,0.0,21.82951,21.444674,19.574335,18.681194,18.110948999999998,28.996965000000003
9930,13964,RMJ074442.7+225436.8,116.1777366347506,22.910232047636754,0.48199698,54.8611,2.4943132,0.48482358,0.0,21.788304999999998,20.863281,19.157413000000002,18.300554,17.880262,24.98544
9935,13971,RMJ123056.0+260936.5,187.7333809684169,26.160142732687174,0.5474931,68.19395,2.4053755,-1.0,0.0,23.106185999999997,21.61528,20.237171,19.427870000000002,19.01341,31.514640000000004
9942,13984,RMJ142806.6+081045.9,217.02731039390088,8.179429376405741,0.5370286999999999,63.72424300000001,2.1794119999999997,0.5335953,0.0,23.128729,22.598688,20.474102,19.506307999999997,19.088214999999998,29.118028999999996
9944,13986,RMJ233124.0+273027.8,352.84982325321806,27.50771164902184,0.4462062,56.096756000000006,1.7419622,-1.0,0.0,27.182467,20.7381,18.972832,18.16863,17.75393,29.323261
9953,14002,RMJ220312.6-004645.1,330.8025989860856,-0.7792027223901682,0.53727853,54.75431999999999,2.5893479999999998,-1.0,0.0,24.496416,22.154024,20.36968,19.60449,19.101902,22.999098
9957,14008,RMJ223241.7+294302.5,338.17389162973643,29.717362200152092,0.5427173000000001,62.24450699999999,2.9110737,-1.0,0.0,24.816105,22.505713,21.009314,20.105062,19.7251,25.368538
9962,14017,RMJ005631.6+120057.2,14.131564672077673,12.015891648668227,0.5371560999999999,61.46650699999999,2.4435046000000002,-1.0,0.0,26.235184000000004,21.407616,19.829334,18.917315,18.367520000000003,31.762817
9964,14025,RMJ231813.1+205326.3,349.5547250112982,20.890631172421557,0.5186869000000001,69.292305,2.594538,-1.0,0.0,23.77515,22.692247000000002,20.664179,19.661013,19.3696,34.726079999999996
