,Name,RAdeg,DEdeg,z,MSZ,MCXC,RedMAPPer
210,PSZ2 G052.93+10.42,282.3867612,22.4540506,-1.0,0.0,            ,                    
211,PSZ2 G053.44-36.25,323.7991587,-1.0448464,0.33,7.453945,            ,RMJ213512.2-010255.8
212,PSZ2 G053.53+59.52,227.5546126,33.4914783,0.113,5.850329,J1510.1+3330,RMJ151011.7+332911.3
213,PSZ2 G053.55-29.85,318.5153992,2.5707132,0.0494,1.796174,J2113.8+0233,RMJ211356.0+023348.1
214,PSZ2 G053.63-41.84,328.5449167,-4.0019404,0.1509,3.257652,J2154.2-0400,RMJ215413.1-035953.2
215,PSZ2 G053.64-34.48,322.410144,0.0733036,0.2347,4.338452,J2129.6+0005,RMJ212940.0+000521.2
216,PSZ2 G053.80+36.49,254.9007904,31.7431899,-1.0,0.0,            ,                    
217,PSZ2 G053.88-64.60,348.2366745,-15.9875186,0.262,4.972126,            ,                    
218,PSZ2 G053.99-45.06,331.3918513,-5.5580595,0.0582,1.783753,J2205.6-0535,RMJ220535.5-053209.7
219,PSZ2 G054.85+54.30,233.8283054,34.3446164,0.2347,4.385536,            ,RMJ153519.5+342128.7
220,PSZ2 G054.95-33.39,322.1180283,1.5874349,0.392,7.323019,            ,RMJ212826.3+013603.1
221,PSZ2 G054.99+53.41,234.9017843,34.4313456,0.229,5.727959,J1539.7+3424,RMJ153940.5+342527.3
222,PSZ2 G055.59+31.85,260.6149937,32.1354073,0.224,7.77852,J1722.4+3208,RMJ172227.2+320757.2
223,PSZ2 G055.80+32.90,259.462356,32.5608433,0.1054,2.578606,J1717.8+3235,RMJ171755.7+323437.6
224,PSZ2 G055.95-34.89,323.8259984,1.4104545,0.231,6.731695,J2135.2+0125,RMJ213518.8+012527.0
225,PSZ2 G056.14+28.06,265.0747664,31.6030193,0.426,5.529974,            ,                    
226,PSZ2 G056.38+23.36,270.3845214,30.3961509,-1.0,0.0,            ,                    
227,PSZ2 G056.62+88.42,194.4922607,27.7527904,0.045041,3.295758,            ,                    
228,PSZ2 G056.77+36.32,255.6663094,34.0510722,0.0953,4.379626,J1702.7+3403,RMJ170245.5+340340.1
229,PSZ2 G056.79-11.60,304.7410482,15.1262015,0.122,4.006226,            ,                    
230,PSZ2 G056.93-55.08,340.8340971,-9.595095,0.447,9.992374,J2243.3-0935,RMJ224319.8-093530.9
231,PSZ2 G057.08-74.45,357.7825965,-19.9825014,0.248,4.707928,            ,                    
232,PSZ2 G057.09+11.19,283.5194099,26.4829979,-1.0,0.0,            ,                    
233,PSZ2 G057.25-45.34,332.9307646,-3.8292289,0.397,10.503954,J2211.7-0349,RMJ221145.9-034944.5
234,PSZ2 G057.61+34.93,257.4671655,34.4612867,0.0802,3.731657,J1709.8+3426,RMJ170948.6+342728.3
235,PSZ2 G057.73+51.58,237.141313,36.1033597,0.2382,5.586019,            ,RMJ154833.7+360535.7
236,PSZ2 G057.78+52.32,236.2148559,36.1219056,0.0654,2.379446,J1545.0+3603,RMJ154459.0+360634.0
237,PSZ2 G057.80+88.00,194.9117967,27.953679,0.0231,7.165297,J1259.7+2756,                    
238,PSZ2 G057.92+27.64,266.0678139,32.9986431,0.0757,2.683969,J1744.2+3259,                    
239,PSZ2 G057.92-07.40,301.6444232,18.3115708,-1.0,0.0,            ,                    
240,PSZ2 G058.29+18.55,276.3360462,30.4319956,0.065,3.882002,J1825.3+3026,                    
241,PSZ2 G058.31+41.96,249.0507832,36.0554112,-1.0,0.0,            ,                    
242,PSZ2 G058.42-33.50,323.8823279,3.8817702,-1.0,0.0,            ,                    
243,PSZ2 G058.81-49.68,337.0708369,-5.5274217,0.52,6.714546,            ,                    
244,PSZ2 G059.18+32.91,260.202874,35.3248063,0.383,5.213302,            ,                    
245,PSZ2 G059.29+44.49,245.9901492,36.9729025,0.342746,5.758566,            ,RMJ162356.7+370019.0
246,PSZ2 G059.47+33.06,260.0785949,35.6001976,0.387,6.087978,J1720.2+3536,                    
247,PSZ2 G059.52+16.23,279.3393414,30.6641929,-1.0,0.0,            ,                    
248,PSZ2 G059.72-46.21,334.648408,-2.9574109,0.0902,2.225783,J2218.8-0258,RMJ221848.0-025824.9
249,PSZ2 G059.76+14.59,281.1949274,30.2467736,-1.0,0.0,            ,                    
