,MCXC,OName,AName,RAdeg,DEdeg,z,M500
150,J0145.0-5300,RXCJ0145.0-5300   ,A2941                                                 ,26.259,-53.014,0.1168,2.888
151,J0145.2-6033,RXCJ0145.2-6033   ,RBS 0238                                              ,26.32,-60.565,0.1805,4.3428
152,J0150.0-3927,MS0147.8-3941     ,                                                      ,27.507,-39.453,0.373,1.5266
153,J0150.7+3305,A260              ,A0260                                                 ,27.687,33.09,0.0363,0.6253
154,J0152.5-2853,MACSJ0152.5-2852  ,                                                      ,28.141,-28.892,0.413,7.9
155,J0152.6-1358,BVH2007 18        ,RX J0152.7-1357 (BSHARC)                              ,28.172,-13.97,0.833,3.2223
156,J0152.7+0100,RXC J0152.7+0100  ,A0267                                                 ,28.182,1.016,0.227,4.9286
157,J0152.7+3609,RXC J0152.7+3609  ,A0262                                                 ,28.195,36.151,0.0163,1.1891
158,J0152.9+3732,RXC J0152.9+3732  ,A0263                                                 ,28.245,37.535,0.2993,4.4682
159,J0152.9-1345,RXCJ0152.9-1345   ,NGC0720                                               ,28.246,-13.753,0.005,0.0434
160,J0153.5-0118,RXC J0153.5-0118  ,                                                      ,28.383,-1.312,0.2438,3.7602
161,J0154.2-5937,BVH2007 19        ,VMF98 20                                              ,28.552,-59.626,0.36,1.412
162,J0155.1+3355,RXC J0155.1+3355  ,A0272                                                 ,28.79,33.922,0.0872,1.9872
163,J0157.1+4120,RXC J0157.1+4120  ,A0276                                                 ,29.282,41.34,0.081,1.7753
164,J0157.4-0550,RXCJ0157.4-0550   ,A0281                                                 ,29.351,-5.84,0.1289,2.1808
165,J0157.4+3213,A278              ,A0278                                                 ,29.357,32.224,0.0894,1.48
166,J0158.4-0146,RXC J0158.4-0146  ,A0286                                                 ,29.618,-1.781,0.1632,2.2867
167,J0159.3+0030,BVH2007 20        ,VMF98 21                                              ,29.826,0.502,0.386,2.4175
168,J0159.8-0850,MACSJ0159.8-0849  ,MCS  J0159.8-0849                                     ,29.956,-8.833,0.405,9.1513
169,J0200.2+3126,RXC J0200.2+3126  ,NGC 0777                                              ,30.069,31.437,0.0168,0.2848
170,J0201.7-0212,RXCJ0201.7-0212   ,A0291                                                 ,30.434,-2.201,0.196,4.3137
171,J0201.7+0344,MS0159.1+0330     ,A0293                                                 ,30.449,3.749,0.165,1.2418
172,J0202.3-4447,RXC J0202.3-4447  ,                                                      ,30.578,-44.794,0.0616,0.7366
173,J0202.3-0107,RXCJ0202.3-0107   ,A0295                                                 ,30.583,-1.12,0.0427,0.6177
174,J0206.3+1511,RX J0206.3+1511   ,VMF98 22                                              ,31.597,15.188,0.248,0.8941
175,J0206.4-1453,RXCJ0206.4-1453   ,A0305                                                 ,31.625,-14.894,0.1529,2.6016
176,J0206.8-1309,BVH2007 21        ,VMF98 23                                              ,31.708,-13.153,0.321,1.7606
177,J0209.5+1946,RXC J0209.5+1946  ,A0311                                                 ,32.38,19.77,0.0657,1.3447
178,J0209.8-5116,BVH2007 22        ,                                                      ,32.47,-51.272,0.206,0.8467
179,J0210.2-3932,RX J0210.2-3932   ,VMF98 24                                              ,32.557,-39.548,0.168,0.3093
180,J0210.4-3929,RX J0210.4-3929   ,VMF98 25                                              ,32.607,-39.496,0.165,0.3685
181,J0211.4-4017,RXCJ0211.4-4017   ,A2984                                                 ,32.856,-40.287,0.1008,1.6478
182,J0212.8-4707,RXC J0212.8-4707  ,A2988                                                 ,33.225,-47.133,0.115,2.0701
183,J0214.2+5144,RXC J0214.2+5144  ,                                                      ,33.568,51.747,0.0489,1.4083
184,J0214.6-0433,RXC J0214.6-0433  ,A0329                                                 ,33.671,-4.563,0.1393,1.7898
185,J0216.3-4816,RXC J0216.3-4816  ,A2998                                                 ,34.08,-48.273,0.1709,2.7225
186,J0216.5-1747,BVH2007 23        ,                                                      ,34.14,-17.791,0.578,2.1474
187,J0216.7-4749,RXCJ0216.7-4749   ,S0239                                                 ,34.176,-47.823,0.064,1.0075
188,J0217.2-5244,RXCJ0217.2-5244   ,                                                      ,34.302,-52.747,0.3432,6.8371
189,J0220.9-3829,RXCJ0220.9-3829   ,                                                      ,35.236,-38.485,0.228,4.3319
190,J0221.1+1958,RX J0221.1+1958   ,                                                      ,35.285,19.974,0.45,2.6087
191,J0223.4-0852,BVH2007 24        ,                                                      ,35.868,-8.87,0.163,0.8132
192,J0225.1-2928,RXCJ0225.1-2928   ,                                                      ,36.294,-29.474,0.0604,1.1207
193,J0225.9-4154,RXCJ0225.9-4154   ,A3016                                                 ,36.478,-41.91,0.2195,5.2528
194,J0227.2-2851,RXC J0227.2-2851  ,EDCC651                                               ,36.803,-28.855,0.2138,2.2917
195,J0228.1+2811,RXC J0228.1+2811  ,RXJ0228.2+2811                                        ,37.04,28.194,0.0353,0.6596
196,J0228.2-1005,BVH2007 25        ,VMF98 26                                              ,37.056,-10.096,0.149,0.7165
197,J0228.3+2325,BVH2007 26        ,                                                      ,37.094,23.423,0.305,1.6671
198,J0229.3-3332,RXCJ0229.3-3332   ,APMCC269                                              ,37.343,-33.538,0.0792,1.3623
199,J0230.4+1836,BVH2007 27        ,                                                      ,37.611,18.606,0.799,3.5043
200,J0230.7-3305,RXCJ0230.7-3305   ,A3027                                                 ,37.681,-33.099,0.076,1.1414
201,J0231.7-0451,RXC J0231.7-0451  ,A0362                                                 ,37.947,-4.856,0.1843,2.7463
202,J0231.9+0114,RXCJ0231.9+0114   ,RCS145                                                ,37.988,1.245,0.0221,0.2351
203,J0232.2-4420,RXCJ0232.2-4420   ,                                                      ,38.07,-44.347,0.2836,6.1319
204,J0234.2-0356,WARP J0234.2-0356 ,                                                      ,38.555,-3.947,0.447,1.1213
205,J0236.6-1923,RXCJ0236.6-1923   ,A0367                                                 ,39.168,-19.387,0.0907,1.5047
206,J0237.4-2630,RXCJ0237.4-2630   ,A0368                                                 ,39.372,-26.505,0.2216,3.9543
207,J0237.9-5224,BVH2007 28        ,"VMF98 28, A3038                                       ",39.498,-52.413,0.136,1.2327
208,J0239.8-2320,RX J0239.8-2320   ,VMF98 29                                              ,39.969,-23.343,0.45,1.2985
209,J0241.3-2839,RXC J0241.3-2839  ,A3041                                                 ,40.337,-28.657,0.2323,3.6504
210,J0242.5-2132,MACSJ0242.5-2132  ,MCS  J0242.6-2132                                     ,40.649,-21.541,0.314,5.0925
211,J0244.1-2611,RXC J0244.1-2611  ,                                                      ,41.026,-26.185,0.1362,2.1489
212,J0245.2-4627,RXC J0245.2-4627  ,A3047                                                 ,41.303,-46.454,0.0868,1.0754
213,J0245.7+0936,BVH2007 29        ,                                                      ,41.44,9.61,0.147,1.2406
214,J0246.0+3653,RXC J0246.0+3653  ,A0376                                                 ,41.511,36.888,0.0488,1.6098
215,J0248.0-0332,RXCJ0248.0-0332   ,A0383                                                 ,42.008,-3.537,0.1883,4.2465
216,J0248.2-0216,RXC J0248.2-0216  ,A0384                                                 ,42.068,-2.279,0.236,5.2314
217,J0249.6-3111,RXCJ0249.6-3111   ,S0301                                                 ,42.404,-31.188,0.023,0.4469
218,J0250.0+1907,BVH2007 30        ,                                                      ,42.515,19.131,0.122,0.5854
219,J0250.2-2129,RXCJ0250.2-2129   ,                                                      ,42.572,-21.499,0.207,3.9964
220,J0251.2-2055,BVH2007 31        ,                                                      ,42.824,-20.929,0.325,1.7897
221,J0251.4-2456,RXC J0251.4-2456  ,A0389                                                 ,42.87,-24.949,0.1134,1.6735
222,J0252.8-0116,RXCJ0252.8-0116   ,NGC1132                                               ,43.206,-1.274,0.0235,0.4664
223,J0254.4+4134,RXC J0254.4+4134  ,AWM 7                                                 ,43.623,41.572,0.0172,1.8346
224,J0255.8+0918,RXC J0255.8+0918  ,IC 1867                                               ,43.964,9.313,0.0258,0.3249
225,J0256.5+0006,RX J0256.5+0006   ,                                                      ,44.137,0.103,0.36,3.452
226,J0257.1-2326,MACSJ0257.1-2325  ,                                                      ,44.288,-23.435,0.5049,6.4762
227,J0257.6+0600,A400              ,A0400                                                 ,44.412,6.006,0.0238,0.8012
228,J0257.6-2209,MACSJ0257.6-2209  ,MCS J0257.6-2209                                      ,44.422,-22.154,0.322,5.8788
229,J0257.8+1302,RXC J0257.8+1302  ,A0399                                                 ,44.457,13.049,0.0722,4.2452
230,J0258.2-2105,RXC J0258.2-2105  ,A3073                                                 ,44.562,-21.091,0.1226,1.5944
231,J0258.7+0012,RX J0258.7+0012   ,VMF98 30                                              ,44.692,0.212,0.259,0.8451
232,J0258.9+1334,RXC J0258.9+1334  ,A0401                                                 ,44.74,13.58,0.0739,5.8488
233,J0259.5+0013,BVH2007 32        ,VMF98 31                                              ,44.891,0.229,0.194,1.1508
234,J0300.7+4427,RXC J0300.7+4427  ,                                                      ,45.188,44.463,0.03,1.9253
235,J0301.6+0155,RXCJ0301.6+0155   ,Zw0258.9                                              ,45.405,1.92,0.1712,4.0333
236,J0301.8+3550,A407              ,A0407                                                 ,45.456,35.835,0.0464,0.9159
237,J0302.3-0423,BVH2007 33        ,                                                      ,45.589,-4.391,0.35,5.5681
238,J0303.3+0155,RXCJ0303.3+0155   ,A0409                                                 ,45.838,1.926,0.153,3.6105
239,J0303.7-7752,RXCJ0303.7-7752   ,                                                      ,45.943,-77.869,0.2742,5.1687
240,J0304.1-3656,RXCJ0304.1-3656   ,A3084                                                 ,46.03,-36.943,0.2192,3.8438
241,J0304.4-0702,BVH2007 34        ,                                                      ,46.103,-7.037,0.135,0.6618
242,J0304.5+1527,MS0301.7+1516     ,                                                      ,46.126,15.458,0.083,0.6761
243,J0305.3+1728,MS0302.5+1717     ,                                                      ,46.326,17.473,0.4249,2.1915
244,J0305.5+1710,MS0302.7+1658     ,                                                      ,46.382,17.167,0.4246,2.3904
245,J0306.4-0943,BVH2007 35        ,IC1880                                                ,46.62,-9.731,0.0342,0.2893
246,J0307.0-2840,RXCJ0307.0-2840   ,A3088                                                 ,46.767,-28.671,0.2537,5.2091
247,J0307.0-0628,BVH2007 36        ,                                                      ,46.77,-6.481,0.347,3.1062
248,J0308.9+2645,MACSJ0308.9+2645  ,                                                      ,47.233,26.76,0.356,16.4
249,J0311.4-2653,RXCJ0311.4-2653   ,A3094                                                 ,47.854,-26.9,0.0685,1.0004
250,J0311.5+0714,RXC J0311.5+0714  ,                                                      ,47.899,7.238,0.142,1.8571
251,J0313.3+2624,RXC J0313.3+2624  ,                                                      ,48.344,26.407,0.1649,2.0487
252,J0313.6-3817,RXC J0313.6-3817  ,A3098                                                 ,48.408,-38.299,0.0833,1.0294
253,J0314.3-4525,RXCJ0314.3-4525   ,A3104                                                 ,48.582,-45.424,0.0718,1.9792
254,J0317.9-4414,RXCJ0317.9-4414   ,A3112                                                 ,49.494,-44.239,0.0752,4.3948
255,J0318.2-0301,RX J0318.2-0301   ,BS RXJ0318.2-0301                                     ,49.573,-3.021,0.37,1.5161
256,J0318.5-0302,BVH2007 37        ,BS RXJ0318.5-0302                                     ,49.639,-3.049,0.37,2.8422
257,J0319.7+4130,RXC J0319.7+4130  ,A0426                                                 ,49.947,41.513,0.0179,6.1508
258,J0320.3-4259,BVH2007 38        ,                                                      ,50.075,-42.987,0.158,0.8694
259,J0320.6-4311,BVH2007 39        ,S0343                                                 ,50.158,-43.198,0.149,0.7445
260,J0321.9-5119,RX J0321.9-5119   ,A3120                                                 ,50.488,-51.326,0.0696,0.9545
261,J0322.2-5310,RXCJ0322.2-5310   ,APMCC391                                              ,50.553,-53.178,0.0797,1.1966
262,J0322.3-4121,RXCJ0322.3-4121   ,A3122                                                 ,50.578,-41.36,0.0643,1.4238
263,J0322.3-4918,BVH2007 NS 1      ,"VMF98 32, S0346                                       ",50.585,-49.312,0.067,0.3708
264,J0322.9-1338,BVH2007 40        ,                                                      ,50.748,-13.637,0.334,1.6041
265,J0323.9-1916,BVH2007 41        ,                                                      ,50.998,-19.276,0.332,2.0738
266,J0327.9+0233,BVH2007 42        ,UGC02748                                              ,51.977,2.563,0.0302,0.2346
267,J0328.6-2140,BVH2007 43        ,                                                      ,52.15,-21.668,0.59,2.7751
268,J0328.6-5542,RXCJ0328.6-5542   ,A3126                                                 ,52.156,-55.713,0.0853,2.4368
269,J0329.6-0211,MACSJ0329.6-0211  ,MCS  J0329.6-0211                                     ,52.423,-2.196,0.45,4.4622
270,J0330.0-5235,RXCJ0330.0-5235   ,A3128                                                 ,52.503,-52.596,0.0624,2.0786
271,J0331.1-2100,RXCJ0331.1-2100   ,                                                      ,52.78,-21.003,0.188,4.0524
272,J0331.9-4524,BVH2007 NS 2      ,                                                      ,52.998,-45.407,0.0671,0.2155
273,J0332.2-2910,BVH2007 44        ,                                                      ,53.056,-29.177,0.15,1.0869
274,J0333.0-3913,RX J0333.0-3914   ,                                                      ,53.273,-39.23,0.245,0.4682
275,J0333.1-2456,BVH2007 45        ,                                                      ,53.292,-24.945,0.475,2.4442
276,J0334.0-3900,BVH2007 46        ,A3135                                                 ,53.515,-39.014,0.0623,0.3519
277,J0334.9-5342,RXCJ0334.9-5342   ,APMCC421                                              ,53.734,-53.702,0.0619,0.9158
278,J0336.3-4037,RXCJ0336.3-4037   ,A3140                                                 ,54.078,-40.622,0.1729,4.295
279,J0336.3-0347,RXCJ0336.3-0347   ,                                                      ,54.095,-3.792,0.1595,3.0382
280,J0336.8-2804,BVH2007 47        ,A3141                                                 ,54.206,-28.081,0.105,1.0571
281,J0337.0-3949,RXCJ0337.0-3949   ,A3142                                                 ,54.25,-39.82,0.103,1.6881
282,J0337.7-2522,RX J0337.7-2522   ,VMF98 33                                              ,54.437,-25.378,0.585,1.038
283,J0338.1-2256,BVH2007 48        ,                                                      ,54.549,-22.94,0.173,0.6947
284,J0338.4-3526,RXCJ0338.4-3526   ,FORNAX                                                ,54.616,-35.448,0.0051,0.1855
285,J0338.6+0958,RXC J0338.6+0958  ,2A0335                                                ,54.67,9.974,0.0347,3.4496
286,J0339.4-3313,BVH2007 49        ,A3150                                                 ,54.851,-33.219,0.269,1.7212
287,J0340.1-5503,RXCJ0340.1-5503   ,IC 1987                                               ,55.036,-55.054,0.0464,0.6987
288,J0340.1-1835,RXCJ0340.1-1835   ,NGC1407                                               ,55.048,-18.587,0.0056,0.0568
289,J0340.4-2840,BVH2007 50        ,A3151                                                 ,55.113,-28.672,0.068,0.9209
290,J0340.6-0239,RXCJ0340.6-0239   ,                                                      ,55.174,-2.666,0.0352,0.7946
291,J0340.8-4542,RXCJ0340.8-4542   ,RBS 0459                                              ,55.205,-45.705,0.0698,1.2015
292,J0340.8-2823,BVH2007 51        ,                                                      ,55.215,-28.386,0.346,2.1352
293,J0341.2+1524,RXC J0341.2+1524  ,RXJ0341.3+1524                                        ,55.321,15.407,0.0311,1.1301
294,J0341.9-4500,RX J0341.9-4500   ,VMF98 34                                              ,55.488,-45.003,0.408,0.4727
295,J0342.8-5338,RXCJ0342.8-5338   ,A3158                                                 ,55.724,-53.635,0.059,3.6513
296,J0345.7-4112,RXCJ0345.7-4112   ,S0384                                                 ,56.44,-41.208,0.0603,1.2699
297,J0345.9-2416,RXCJ0345.9-2416   ,A0458                                                 ,56.484,-24.28,0.1057,2.397
298,J0346.1-5702,RXCJ0346.1-5702   ,A3164                                                 ,56.54,-57.05,0.057,1.3469
299,J0347.0-2900,RXCJ0347.0-2900   ,A3165                                                 ,56.751,-29.003,0.1419,2.8018
300,J0348.1-1201,WARP J0348.1-1201 ,                                                      ,57.036,-12.026,0.488,1.5331
301,J0348.3-3328,BVH2007 52        ,A3169                                                 ,57.093,-33.476,0.165,1.9055
302,J0350.7-3801,BVH2007 53        ,                                                      ,57.683,-38.024,0.363,2.1178
303,J0351.1-8212,RXCJ0351.1-8212   ,S0405                                                 ,57.787,-82.217,0.0613,2.1924
304,J0351.6-3649,RX J0351.6-3649   ,VMF98 35                                              ,57.908,-36.831,0.372,1.1118
305,J0352.3-5453,RXCJ0352.3-5453   ,RBS 0485                                              ,58.086,-54.886,0.0447,0.6806
306,J0352.4-7401,MS0353.3-7411     ,A3186                                                 ,58.123,-74.031,0.127,3.092
307,J0352.9+1941,RXC J0352.9+1941  ,RXJ0352.9+1941                                        ,58.249,19.69,0.1085,3.0843
308,J0354.5-4233,BVH2007 54        ,                                                      ,58.644,-42.559,0.224,1.0329
309,J0354.5-3745,BVH2007 55        ,A3184                                                 ,58.647,-37.756,0.251,4.4584
310,J0355.4-3634,BVH2007 56        ,"S0400, MS0353.6-3642                                  ",58.875,-36.568,0.32,4.0532
311,J0355.9-3741,BVH2007 57        ,                                                      ,58.997,-37.696,0.473,2.7494
312,J0358.9-2955,MACSJ0358.8-2955  ,A3192                                                 ,59.727,-29.926,0.425,8.9001
313,J0359.1-0320,RXCJ0359.1-0320   ,                                                      ,59.788,-3.341,0.122,2.1645
314,J0404.6+1109,RXC J0404.6+1109  ,MCS  J0404.6+1109                                     ,61.156,11.166,0.3548,4.989
315,J0405.4-4100,BVH2007 58        ,                                                      ,61.351,-41.004,0.686,2.5714
316,J0406.7-7116,MS0407.2-7123     ,                                                      ,61.691,-71.275,0.229,2.042
317,J0408.2-3053,RXCJ0408.2-3053   ,A3223                                                 ,62.068,-30.894,0.06,1.5303
318,J0413.4+1028,RXC J0413.4+1028  ,A0478                                                 ,63.356,10.467,0.0882,6.424
319,J0413.9-3805,RXCJ0413.9-3805   ,                                                      ,63.488,-38.1,0.0501,1.6249
320,J0416.7-5525,RX J0416.7-5525   ,                                                      ,64.187,-55.419,0.365,1.2136
321,J0417.4-4512,BVH2007 59        ,A3240                                                 ,64.357,-45.208,0.213,1.6298
322,J0417.5-1154,MACSJ0417.5-1154  ,                                                      ,64.393,-11.908,0.443,22.1
323,J0419.6+0224,RXCJ0419.6+0224   ,NGC1550                                               ,64.908,2.414,0.0131,0.7031
324,J0420.1-3838,MS0418.3-3844     ,                                                      ,65.025,-38.634,0.35,1.4331
325,J0420.7-3841,MS0419.0-3848     ,                                                      ,65.186,-38.699,0.225,0.7154
326,J0421.0-4629,BVH2007 60        ,A3247                                                 ,65.265,-46.493,0.131,0.7635
327,J0422.4-5009,BVH2007 61        ,                                                      ,65.62,-50.15,0.0901,0.5277
328,J0425.8-0833,RXCJ0425.8-0833   ,RBS 0540                                              ,66.464,-8.559,0.0397,2.0861
329,J0426.1+1655,RX J0426.1+1655   ,                                                      ,66.531,16.92,0.38,2.9084
330,J0428.7-3805,BVH2007 62        ,"VMF98 36, A3259                                       ",67.177,-38.096,0.154,0.6789
331,J0429.1-5350,RXCJ0429.1-5350   ,S0463                                                 ,67.283,-53.847,0.04,0.6376
332,J0429.5-0253,MACSJ0429.6-0253  ,MCS  J0429.6-0253                                     ,67.4,-2.885,0.399,6.0882
333,J0431.4-6126,RXCJ0431.4-6126   ,A3266                                                 ,67.85,-61.444,0.0589,4.5579
334,J0433.6-1315,RXCJ0433.6-1315   ,A0496                                                 ,68.41,-13.259,0.0326,2.9118
335,J0434.2-0831,RX J0434.2-0831   ,VMF98 37                                              ,68.565,-8.521,0.24,0.6091
336,J0436.7+1003,MS0433.9+0957     ,                                                      ,69.18,10.061,0.159,2.9567
337,J0437.1-2027,RXCJ0437.1-2027   ,A0499                                                 ,69.28,-20.457,0.155,2.7552
338,J0437.1+0043,RXCJ0437.1+0043   ,RXJ0437.1+0043                                        ,69.292,0.727,0.2842,5.9496
339,J0438.9-2206,RXCJ0438.9-2206   ,A0500                                                 ,69.728,-22.114,0.067,1.5091
340,J0439.0+0715,RXC J0439.0+0715  ,RXJ0439.0+0715                                        ,69.753,7.262,0.245,5.6202
341,J0439.0+0520,RXC J0439.0+0520  ,RXJ0439.0+0520                                        ,69.76,5.344,0.208,4.6097
342,J0443.1+0210,MS0440.5+0204     ,                                                      ,70.791,2.172,0.19,2.8016
343,J0445.1-1551,RXCJ0445.1-1551   ,NGC1650                                               ,71.292,-15.85,0.036,0.8642
344,J0446.6-0421,BVH2007 63        ,                                                      ,71.658,-4.351,0.177,1.7279
345,J0448.0+1037,RXC J0448.0+1037  ,                                                      ,72.002,10.618,0.094,1.2183
346,J0448.2-2028,RXCJ0448.2-2028   ,A0514                                                 ,72.051,-20.47,0.072,1.9513
347,J0448.2+0953,RXJ0448.2+0953    ,RXJ0448.2+0953                                        ,72.054,9.89,0.154,2.9287
348,J0449.9-4440,RXCJ0449.9-4440   ,A3292                                                 ,72.48,-44.678,0.1501,3.2382
349,J0450.0+4501,RXC J0450.0+4501  ,3C 129.1                                              ,72.515,45.024,0.022,1.8897
350,J0451.5-5557,MS0450.6-5602     ,                                                      ,72.899,-55.954,0.094,0.8073
351,J0451.9+0006,MACSJ0451.9+0006  ,MCS  J0451.9+0006                                     ,72.977,0.105,0.43,4.1001
352,J0454.1-1014,RXCJ0454.1-1014   ,A0521                                                 ,73.538,-10.239,0.2475,5.8187
353,J0454.1+0255,RXC J0454.1+0255  ,A0520                                                 ,73.546,2.918,0.203,6.4364
354,J0454.1-0300,MACSJ0454.1-0300  ,MS 0451.6+0305                                        ,73.546,-3.015,0.5377,7.1338
355,J0454.3-0239,RX J0454.3-0239   ,                                                      ,73.582,-2.664,0.26,1.5539
356,J0454.8-1806,RXCJ0454.8-1806   ,CID 28                                                ,73.71,-18.109,0.0335,0.6194
357,J0458.9-0029,BVH2007 64        ,NGC1713                                               ,74.73,-0.489,0.015,0.114
358,J0459.1+0846,RXC J0459.1+0846  ,A0523                                                 ,74.776,8.78,0.1034,1.7985
359,J0500.7-3840,RXCJ0500.7-3840   ,A3301                                                 ,75.194,-38.678,0.0536,1.2705
360,J0501.3-0332,RXCJ0501.3-0332   ,A0531                                                 ,75.331,-3.542,0.0913,1.6462
361,J0501.6+0110,RXCJ0501.6+0110   ,                                                      ,75.413,1.175,0.1248,2.5179
362,J0503.1+0607,RXC J0503.1+0607  ,RXJ0503.1+0608                                        ,75.78,6.127,0.088,1.8817
363,J0505.3-2849,RX J0505.3-2849   ,                                                      ,76.333,-28.818,0.509,1.542
364,J0505.9-2826,BVH2007 65        ,VMF98 38                                              ,76.493,-28.434,0.131,0.4435
365,J0506.0-2840,BVH2007 66        ,VMF98 39                                              ,76.517,-28.681,0.136,0.5651
366,J0506.9+0257,RXC J0506.9+0257  ,                                                      ,76.725,2.952,0.1475,1.711
367,J0507.6-0238,RXCJ0507.6-0238   ,A0535                                                 ,76.9,-2.64,0.1241,2.0866
368,J0507.7-0915,RXCJ0507.7-0915   ,A0536                                                 ,76.94,-9.254,0.0398,0.7045
369,J0509.7-0836,BVH2007 67        ,                                                      ,77.431,-8.611,0.125,0.5128
370,J0510.2-4519,RXCJ0510.2-4519   ,A3322                                                 ,77.558,-45.321,0.2,4.6483
371,J0510.7-0801,RXCJ0510.7-0801   ,                                                      ,77.686,-8.018,0.2195,6.0827
372,J0514.6-4903,RXCJ0514.6-4903   ,A3330                                                 ,78.651,-49.055,0.0912,1.6483
373,J0515.3+5845,RXC J0515.3+5845  ,                                                      ,78.835,58.766,0.1203,3.1585
374,J0516.3+1712,RXC J0516.3+1712  ,                                                      ,79.086,17.209,0.115,4.2315
375,J0516.6+0626,RXC J0516.6+0626  ,A0539                                                 ,79.155,6.438,0.0284,1.3731
376,J0516.6-5430,RXCJ0516.6-5430   ,S0520                                                 ,79.158,-54.514,0.2952,7.7238
377,J0516.9+2925,RXC J0516.9+2925  ,                                                      ,79.243,29.421,0.13,3.0614
378,J0520.7-1328,MACSJ0520.7-1328  ,                                                      ,80.176,-13.48,0.336,6.3
379,J0521.1-2530,BVH2007 68        ,VMF98 40                                              ,80.294,-25.51,0.581,2.4557
380,J0521.4-4049,RXCJ0521.4-4049   ,A3336                                                 ,80.373,-40.825,0.0756,1.4667
